id,region1,title1,lat1,lon1,year,region2,title2,lat2,lon2
257,CH: Graubünden,Lumnezia,46.66292,9.1099,1895,DE: Baden-Württemberg,Vogt,47.7862,9.7602
257,CH: Graubünden,Lumnezia,46.66292,9.1099,1898,DE: Baden-Württemberg,Vogt,47.7862,9.7602
248,CH: Graubünden,Lumnezia,46.66292,9.1099,1894,DE: Baden-Württemberg,Vogt,47.7862,9.7602
248,CH: Graubünden,Lumnezia,46.66292,9.1099,1895,DE: Baden-Württemberg,Vogt,47.7862,9.7602
248,CH: Graubünden,Lumnezia,46.66292,9.1099,1896,DE: Baden-Württemberg,Vogt,47.7862,9.7602
254,CH: Graubünden,Lumnezia,46.66292,9.1099,1895,DE: Baden-Württemberg,Vogt,47.7862,9.7602
251,CH: Graubünden,Lumnezia,46.66292,9.1099,1895,DE: Baden-Württemberg,Vogt,47.7862,9.7602
251,CH: Graubünden,Lumnezia,46.66292,9.1099,1896,DE: Baden-Württemberg,Vogt,47.7862,9.7602
260,CH: Graubünden,Rhäzüns,46.78618,9.39221,1851,DE: Baden-Württemberg,Friedrichshafen,47.65442,9.47257
1059,CH: St. Gallen,,,,1903,DE: Bayern,Buchenberg,47.7,10.2333
261,CH: Graubünden,,,,1910,DE: Baden-Württemberg,Markdorf,47.7194,9.3952
1060,CH: St. Gallen,,,,1910,DE: Baden-Württemberg,Markdorf,47.7194,9.3952
13,CH: Appenzell-Innerrhoden,Oberegg,47.41694,9.55753,1842,DE: Baden-Württemberg,Wangen im Allgäu,47.6939,9.829
263,CH: Graubünden,Schluein,46.78885,9.2224,1839,DE: Baden-Württemberg,Wangen im Allgäu,47.6939,9.829
270,CH: Graubünden,Vaz/Obervaz,46.71703,9.54133,1851,DE: Baden-Württemberg,Wangen im Allgäu,47.6939,9.829
270,CH: Graubünden,Vaz/Obervaz,46.71703,9.54133,1854,DE: Baden-Württemberg,Wangen im Allgäu,47.6939,9.829
262,CH: Graubünden,Vaz/Obervaz,46.71703,9.54133,1842,DE: Baden-Württemberg,Wangen im Allgäu,47.6939,9.829
266,CH: Graubünden,Vaz/Obervaz,46.71703,9.54133,1839,DE: Baden-Württemberg,Wangen im Allgäu,47.6939,9.829
264,CH: Graubünden,Schluein,46.78885,9.2224,1906,DE: Baden-Württemberg,Wangen im Allgäu,47.6939,9.829
264,CH: Graubünden,Schluein,46.78885,9.2224,1905,DE: Baden-Württemberg,Wangen im Allgäu,47.6939,9.829
265,CH: Graubünden,Vaz/Obervaz,46.71703,9.54133,1877,DE: Baden-Württemberg,Friedrichshafen,47.65442,9.47257
265,CH: Graubünden,Vaz/Obervaz,46.71703,9.54133,1881,DE: Baden-Württemberg,Friedrichshafen,47.65442,9.47257
271,CH: Graubünden,Chur,46.85212,9.52965,1899,DE: Baden-Württemberg,Kißlegg,47.78893,9.88023
272,CH: Graubünden,Lumnezia,46.66292,9.1099,1899,DE: Baden-Württemberg,Kißlegg,47.78893,9.88023
272,CH: Graubünden,Lumnezia,46.66292,9.1099,1901,DE: Baden-Württemberg,Kißlegg,47.78893,9.88023
272,CH: Graubünden,Lumnezia,46.66292,9.1099,1902,DE: Baden-Württemberg,Kißlegg,47.78893,9.88023
275,CH: Graubünden,Lumnezia,46.66292,9.1099,1898,DE: Baden-Württemberg,Kißlegg,47.78893,9.88023
275,CH: Graubünden,Lumnezia,46.66292,9.1099,1899,DE: Baden-Württemberg,Kißlegg,47.78893,9.88023
275,CH: Graubünden,Lumnezia,46.66292,9.1099,1901,DE: Baden-Württemberg,Kißlegg,47.78893,9.88023
278,CH: Graubünden,Vals,46.61566,9.18032,1888,DE: Baden-Württemberg,Wangen im Allgäu,47.6939,9.829
283,CH: Graubünden,Vals,46.61566,9.18032,1859,DE: Baden-Württemberg,Wangen im Allgäu,47.6939,9.829
279,CH: Graubünden,Vals,46.61566,9.18032,1858,DE: Baden-Württemberg,Wangen im Allgäu,47.6939,9.829
281,CH: Graubünden,Vals,46.61566,9.18032,1861,DE: Baden-Württemberg,Wangen im Allgäu,47.6939,9.829
281,CH: Graubünden,Vals,46.61566,9.18032,1858,DE: Baden-Württemberg,Wangen im Allgäu,47.6939,9.829
280,CH: Graubünden,Vals,46.61566,9.18032,1839,DE: Baden-Württemberg,Wangen im Allgäu,47.6939,9.829
284,CH: Graubünden,Tujetsch,46.65046,8.7323,1852,DE: Baden-Württemberg,Wangen im Allgäu,47.6939,9.829
287,CH: Graubünden,Sumvitg,46.70978,8.94418,1888,DE: Baden-Württemberg,Argenbühl,47.69789,9.94039
286,CH: Graubünden,Disentis/Mustér,46.73425,8.84761,1837,DE: Baden-Württemberg,Wangen im Allgäu,47.6939,9.829
285,CH: Graubünden,Trun,46.74332,8.9831,1847,DE: Baden-Württemberg,Überlingen,47.7683,9.17165
1050,CH: St. Gallen,,,,1911,DE: Baden-Württemberg,Langenargen,47.59692,9.53968
288,CH: Graubünden,Sumvitg,46.70978,8.94418,1896,DE: Baden-Württemberg,Meckenbeuren,47.69085,9.55715
289,CH: Graubünden,Disentis/Mustér,46.73425,8.84761,1834,DE: Bayern,Obergünzburg,47.8455,10.4194
14,CH: Appenzell-Innerrhoden,Oberegg,47.41694,9.55753,1836,DE: Baden-Württemberg,Langenargen,47.59692,9.53968
15,CH: Appenzell-Innerrhoden,Oberegg,47.41694,9.55753,1839,DE: Bayern,Buchenberg,47.7,10.2333
16,CH: Appenzell-Innerrhoden,Oberegg,47.41694,9.55753,1828,DE: Baden-Württemberg,Langenargen,47.59692,9.53968
10,CH: Appenzell-Innerrhoden,Oberegg,47.41694,9.55753,1873,DE: Bayern,Buchenberg,47.7,10.2333
294,CH: Graubünden,Lumnezia,46.66292,9.1099,1872,DE: Baden-Württemberg,Leutkirch im Allgäu,47.8184,9.9931
296,CH: Graubünden,Bonaduz,46.80208,9.35632,1901,DE: Baden-Württemberg,Kißlegg,47.78893,9.88023
296,CH: Graubünden,Bonaduz,46.80208,9.35632,1900,DE: Baden-Württemberg,Kißlegg,47.78893,9.88023
296,CH: Graubünden,Bonaduz,46.80208,9.35632,1903,DE: Baden-Württemberg,Kißlegg,47.78893,9.88023
296,CH: Graubünden,Bonaduz,46.80208,9.35632,1902,DE: Baden-Württemberg,Kißlegg,47.78893,9.88023
298,CH: Graubünden,Lumnezia,46.66292,9.1099,1902,DE: Baden-Württemberg,Kißlegg,47.78893,9.88023
298,CH: Graubünden,Lumnezia,46.66292,9.1099,1903,DE: Baden-Württemberg,Kißlegg,47.78893,9.88023
291,CH: Graubünden,Lumnezia,46.66292,9.1099,1894,DE: Baden-Württemberg,Schlier,47.7718,9.6669
299,CH: Graubünden,Lumnezia,46.66292,9.1099,1874,DE: Baden-Württemberg,Vogt,47.7862,9.7602
290,CH: Graubünden,Lumnezia,46.66292,9.1099,1869,DE: Baden-Württemberg,Tettnang,47.6689,9.5909
303,CH: Graubünden,Lumnezia,46.66292,9.1099,1893,DE: Baden-Württemberg,Vogt,47.7862,9.7602
301,CH: Graubünden,Lumnezia,46.66292,9.1099,1894,DE: Baden-Württemberg,Vogt,47.7862,9.7602
301,CH: Graubünden,Lumnezia,46.66292,9.1099,1894,DE: Baden-Württemberg,Schlier,47.7718,9.6669
301,CH: Graubünden,Lumnezia,46.66292,9.1099,1895,DE: Baden-Württemberg,Vogt,47.7862,9.7602
304,CH: Graubünden,Cazis,46.73716,9.42665,1888,DE: Baden-Württemberg,Friedrichshafen,47.65442,9.47257
305,CH: Graubünden,Churwalden,46.78924,9.53889,1875,DE: Baden-Württemberg,Horgenzell,47.8,9.5
306,CH: Graubünden,Schmitten (GR),46.70416,9.67775,1842,DE: Baden-Württemberg,Wangen im Allgäu,47.6939,9.829
309,CH: Graubünden,Albula/Alvra,46.68068,9.60604,1884,DE: Baden-Württemberg,Kißlegg,47.78893,9.88023
308,CH: Graubünden,Albula/Alvra,46.68068,9.60604,1882,DE: Baden-Württemberg,Wolfegg,47.8167,9.8
308,CH: Graubünden,Albula/Alvra,46.68068,9.60604,1883,DE: Baden-Württemberg,Wolfegg,47.8167,9.8
1051,CH: St. Gallen,,,,1899,DE: Baden-Württemberg,Langenargen,47.59692,9.53968
310,CH: Graubünden,Obersaxen Mundaun,46.72552,9.08421,1843,DE: Baden-Württemberg,Fronreute,47.86748,9.55798
311,CH: Graubünden,Obersaxen Mundaun,46.72552,9.08421,1842,DE: Baden-Württemberg,Fronreute,47.86748,9.55798
312,CH: Graubünden,Cazis,46.73716,9.42665,1863,DE: Bayern,Burgebrach,49.8268,10.7436
313,CH: Graubünden,Cazis,46.73716,9.42665,1871,DE: Baden-Württemberg,Langenargen,47.59692,9.53968
317,CH: Graubünden,Cazis,46.73716,9.42665,1905,DE: Baden-Württemberg,Kißlegg,47.78893,9.88023
317,CH: Graubünden,Cazis,46.73716,9.42665,1901,DE: Baden-Württemberg,Kißlegg,47.78893,9.88023
314,CH: Graubünden,Cazis,46.73716,9.42665,1900,DE: Baden-Württemberg,Kißlegg,47.78893,9.88023
314,CH: Graubünden,Cazis,46.73716,9.42665,1901,DE: Baden-Württemberg,Kißlegg,47.78893,9.88023
108,CH: Graubünden,Tschiertschen-Praden,46.79943,9.60105,1868,DE: Baden-Württemberg,Horgenzell,47.8,9.5
17,CH: Appenzell-Innerrhoden,Appenzell,47.33663,9.41263,1846,DE: Baden-Württemberg,Markdorf,47.7194,9.3952
318,CH: Graubünden,Churwalden,46.78924,9.53889,1899,DE: Baden-Württemberg,Kißlegg,47.78893,9.88023
319,CH: Graubünden,Safiental,46.69624,9.30396,1903,DE: Baden-Württemberg,Kißlegg,47.78893,9.88023
322,CH: Graubünden,Domat/Ems,46.81981,9.45455,1890,DE: Baden-Württemberg,Leutkirch im Allgäu,47.8184,9.9931
322,CH: Graubünden,Domat/Ems,46.81981,9.45455,1891,DE: Baden-Württemberg,Leutkirch im Allgäu,47.8184,9.9931
324,CH: Graubünden,Domat/Ems,46.81981,9.45455,1892,DE: Baden-Württemberg,Leutkirch im Allgäu,47.8184,9.9931
320,CH: Graubünden,Ilanz/Glion,46.7783,9.19496,1914,DE: Baden-Württemberg,Kißlegg,47.78893,9.88023
320,CH: Graubünden,Ilanz/Glion,46.7783,9.19496,1915,DE: Baden-Württemberg,Kißlegg,47.78893,9.88023
325,CH: Graubünden,Sumvitg,46.70978,8.94418,1873,DE: Baden-Württemberg,Waldburg,47.7667,9.71667
326,CH: Graubünden,Untervaz,46.92058,9.51584,1852,DE: Baden-Württemberg,Wangen im Allgäu,47.6939,9.829
116,CH: Graubünden,Scuol,46.73463,10.32633,1842,DE: Baden-Württemberg,Fronreute,47.86748,9.55798
327,CH: Graubünden,Laax,46.84595,9.22791,1866,DE: Baden-Württemberg,Leutkirch im Allgäu,47.8184,9.9931
328,CH: Graubünden,Lumnezia,46.66292,9.1099,1844,DE: Baden-Württemberg,Wangen im Allgäu,47.6939,9.829
329,CH: Graubünden,Breil/Brigels,46.78515,9.03336,1836,DE: Bayern,Obergünzburg,47.8455,10.4194
329,CH: Graubünden,Breil/Brigels,46.78515,9.03336,1838,DE: Bayern,Obergünzburg,47.8455,10.4194
331,CH: Graubünden,Ilanz/Glion,46.7783,9.19496,1859,DE: Baden-Württemberg,Wilhelmsdorf,47.8667,9.41667
333,CH: Graubünden,Ilanz/Glion,46.7783,9.19496,1839,DE: Baden-Württemberg,Überlingen,47.7683,9.17165
333,CH: Graubünden,Ilanz/Glion,46.7783,9.19496,1839,DE: Baden-Württemberg,Überlingen,47.7683,9.17165
333,CH: Graubünden,Ilanz/Glion,46.7783,9.19496,1839,DE: Baden-Württemberg,Überlingen,47.7683,9.17165
333,CH: Graubünden,Ilanz/Glion,46.7783,9.19496,1837,DE: Baden-Württemberg,Überlingen,47.7683,9.17165
